股票代號,股票名稱,買進,賣出,現金償還,前日餘額,今日餘額,限額,買進,賣出,現券償還,前日餘額,今日餘額,限額,資券互抵,註記,日期
1434,福懋,21,3,0,635,653,"421,166",0,0,0,1,1,"421,166",0, ,20231215
1435,中福,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
1436,華友聯,9,4,2,345,348,"24,892",0,0,0,10,10,"24,892",0, ,20231215
1437,勤益控,17,0,0,"2,077","2,094","50,842",0,0,0,0,0,"50,842",0, ,20231215
1438,三地開發,7,0,0,269,276,"17,801",0,0,0,0,0,"17,801",0, ,20231215
1439,雋揚,8,1,0,623,630,"23,000",0,0,0,1,1,"23,000",0, ,20231215
1440,南紡,110,19,0,"4,092","4,183","414,203",0,1,0,66,67,"414,203",0, ,20231215
1441,大東,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
1442,名軒,16,57,0,"7,323","7,282","91,552",0,0,0,20,20,"91,552",0, ,20231215
1443,立益物流,0,0,0,160,160,"33,835",0,0,0,0,0,"33,835",0, ,20231215
1444,力麗,157,122,0,"9,319","9,354","248,898",0,0,0,12,12,"248,898",0, ,20231215
1445,大宇,14,53,0,"5,537","5,498","32,666",0,0,0,1,1,"32,666",0, ,20231215
1446,宏和,3,4,0,"3,029","3,028","34,427",0,0,0,4,4,"34,427",0, ,20231215
1447,力鵬,21,162,0,"11,050","10,909","227,517",0,0,0,33,33,"227,517",0, ,20231215
1449,佳和,102,150,0,"4,112","4,064","20,671",8,16,0,453,461,"20,671",0, ,20231215
1451,年興,0,1,0,426,425,"51,597",0,0,0,0,0,"51,597",0, ,20231215
1452,宏益,3,10,51,"1,044",986,"33,160",0,0,0,0,0,"33,160",0, ,20231215
1453,大將,41,61,0,"2,148","2,128","26,685",0,5,0,17,22,"26,685",0, ,20231215
1454,台富,0,0,0,"2,248","2,248","32,458",0,0,0,0,0,"32,458",0, ,20231215
1455,集盛,179,142,0,"6,117","6,154","132,922",10,8,0,85,83,"132,922",0, ,20231215
1456,怡華,0,7,0,553,546,"23,430",0,0,0,0,0,"23,430",0, ,20231215
1457,宜進,7,20,0,"1,125","1,112","75,411",0,0,0,0,0,"75,411",0, ,20231215
1459,聯發,0,0,0,69,69,0,0,0,0,0,0,0,0,OX ,20231215
1460,宏遠,0,0,0,"5,247","5,247",0,0,0,0,0,0,0,0,OX ,20231215
1463,強盛,37,57,0,"1,141","1,121","43,317",0,0,0,0,0,"43,317",0, ,20231215
1464,得力,2,35,0,768,735,"101,909",0,0,0,0,0,"101,909",0, ,20231215
1465,偉全,0,2,0,"3,080","3,078","25,901",0,0,0,0,0,"25,901",0, ,20231215
1466,聚隆,32,52,0,"1,034","1,014","27,789",0,4,0,22,26,"27,789",0, ,20231215
1467,南緯,3,17,0,"8,525","8,511","42,052",0,0,0,15,15,"42,052",0, ,20231215
1468,昶和,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
1470,大統新創,0,0,0,66,66,"21,441",0,0,0,0,0,"21,441",0, ,20231215
1471,首利,0,0,0,586,586,0,0,0,0,4,4,0,0,OX ,20231215
1472,三洋實業,0,4,0,651,647,"2,658",0,0,0,0,0,"2,658",0, ,20231215
1473,台南,7,4,0,"1,034","1,037","36,538",0,0,0,4,4,"36,538",0, ,20231215
1474,弘裕,52,13,4,"2,258","2,293","32,474",0,0,0,0,0,"32,474",0, ,20231215
1475,業旺,0,0,0,396,396,0,0,0,0,0,0,0,0,OX ,20231215
1476,儒鴻,13,0,0,125,138,"68,591",0,0,0,8,8,"68,591",0, ,20231215
1477,聚陽,15,23,0,699,691,"60,464",1,0,0,125,124,"60,464",0, ,20231215
1503,士電,"1,014","1,689",12,"9,152","8,465","130,243",84,94,0,350,360,"130,243",45, ,20231215
1504,東元,"4,180","2,488",0,"23,400","25,092","534,699",56,56,0,231,231,"534,699",77, ,20231215
1506,正道,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
1512,瑞利,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
1513,中興電,"1,294","4,700",2,"33,387","29,979","125,778",253,21,0,"1,165",933,"125,778",7, ,20231215
1514,亞力,"2,147","2,055",0,"13,451","13,543","61,733",245,163,81,"4,891","4,728","61,733",33, ,20231215
1515,力山,177,167,0,"4,371","4,381","45,368",49,11,0,891,853,"45,368",0, ,20231215
1516,川飛,3,2,0,"1,210","1,211","9,705",1,0,0,1,0,"9,705",0, ,20231215
1517,利奇,4,3,0,"2,144","2,145","56,421",0,2,0,142,144,"56,421",0, ,20231215
1519,華城,"1,031",421,0,"3,896","4,506","65,264",134,56,0,"2,594","2,516","65,264",15, ,20231215
