代號,名稱,前日餘額,賣出,買進,現券,今日餘額,限額,前日餘額,當日賣出,當日還券,當日調整,當日餘額,次一營業日可限額,備註,日期
1319,東陽,"1,018,000","42,000","69,000",0,"991,000","147,869,267","3,571,000",0,"14,000",0,"3,557,000","2,240,178", ,20231215
1321,大洋,0,0,0,0,0,"56,807,067","486,000",0,0,0,"486,000","142,717", ,20231215
1323,永裕,0,0,0,0,0,"22,818,638","118,000",0,0,0,"118,000","11,554", ,20231215
1324,地球,"142,000","2,000","13,000",0,"131,000","18,780,470","712,000","5,000",0,0,"717,000","1,022,434", ,20231215
1325,恆大,"1,372,000","90,000","66,000",0,"1,396,000","21,320,299","565,000",0,0,0,"565,000","805,908", ,20231215
1326,台化,"39,000",0,0,0,"39,000","1,465,296,572","20,850,358",0,"74,000",0,"20,776,358","1,145,697", ,20231215
1337,再生-KY,0,0,0,0,0,"67,238,682","2,394,994",0,0,0,"2,394,994","71,193", ,20231215
1338,廣華-KY,"109,000",0,"17,000",0,"92,000","20,960,000","940,000","12,000",0,0,"952,000","130,401", ,20231215
1339,昭輝,"25,000",0,"7,000",0,"18,000","18,534,718","811,000","13,000",0,0,"824,000","311,102", ,20231215
1340,勝悅-KY,0,0,0,0,0,"38,230,713","742,600",0,0,0,"742,600","26,100", ,20231215
1341,富林-KY,0,0,0,0,0,0,"19,000",0,0,0,"19,000","2,680",Y ,20231215
1342,八貫,"9,000",0,0,0,"9,000","17,832,391","1,359,000","42,000",0,0,"1,401,000","174,060", ,20231215
1402,遠東新,"22,000",0,0,0,"22,000","1,338,218,806","56,158,000","2,616,000","726,000",0,"58,048,000","3,494,965", ,20231215
1409,新纖,0,0,0,0,0,"404,602,321","17,994,000","241,000","124,000",0,"18,111,000","435,495", ,20231215
1410,南染,0,0,0,0,0,"15,750,000","160,000","1,000",0,0,"161,000","16,465", ,20231215
1413,宏洲,0,0,0,0,0,0,0,0,0,0,0,0,XV ,20231215
1414,東和,0,0,0,0,0,"55,000,000","488,000",0,0,0,"488,000","24,545", ,20231215
1416,廣豐,"5,000",0,0,0,"5,000","46,335,542","455,000",0,0,0,"455,000","93,162", ,20231215
1417,嘉裕,"4,000",0,0,0,"4,000","47,485,460","1,922,000","29,000",0,0,"1,951,000","57,665", ,20231215
1418,東華,0,0,0,0,0,"11,708,577","32,000",0,0,0,"32,000","15,061", ,20231215
1419,新紡,0,0,0,0,0,"75,010,320","206,000",0,0,0,"206,000","14,560", ,20231215
1423,利華,0,0,0,0,0,"24,912,000","6,000",0,0,0,"6,000","33,525", ,20231215
1432,大魯閣,0,0,0,0,0,0,0,0,0,0,0,0,XV ,20231215
1434,福懋,"1,000",0,0,0,"1,000","421,166,159","12,192,000","243,000","31,000",0,"12,404,000","348,288", ,20231215
1435,中福,0,0,0,0,0,0,0,0,0,0,0,0,XV ,20231215
1436,華友聯,"10,000",0,0,0,"10,000","24,892,839","97,000",0,0,0,"97,000","30,003", ,20231215
1437,勤益控,0,0,0,0,0,"50,842,821","584,000",0,0,0,"584,000","91,743", ,20231215
1438,三地開發,0,0,0,0,0,"17,801,439","112,000",0,0,0,"112,000","15,475", ,20231215
1439,雋揚,"1,000",0,0,0,"1,000","23,000,000","80,000",0,0,0,"80,000","3,885", ,20231215
1440,南紡,"66,000","1,000",0,0,"67,000","414,203,964","12,180,750","2,000","1,022,000",0,"11,160,750","585,128", ,20231215
1441,大東,0,0,0,0,0,0,0,0,0,0,0,0,XV ,20231215
1442,名軒,"20,000",0,0,0,"20,000","91,552,839","1,802,000",0,0,0,"1,802,000","259,580", ,20231215
1443,立益物流,0,0,0,0,0,"33,835,752","219,000",0,0,0,"219,000","8,950", ,20231215
1444,力麗,"12,000",0,0,0,"12,000","248,898,764","16,021,000",0,"27,000",0,"15,994,000","391,713", ,20231215
1445,大宇,"1,000",0,0,0,"1,000","32,666,508","729,000","1,000",0,0,"730,000","70,924", ,20231215
1446,宏和,"4,000",0,0,0,"4,000","34,427,378","417,000",0,0,0,"417,000","37,579", ,20231215
